category,subcategory,app_count,taxonomy_version
commerce,marketplace,40,v2.1
commerce,fashion,36,v2.1
commerce,automotive_market,11,v2.1
commerce,home_living,10,v2.1
commerce,grocery,8,v2.1
commerce,seller_tools,7,v2.1
commerce,b2b,3,v2.1
commerce,review_platform,2,v2.1
commerce,property,2,v2.1
communication,social_network,22,v2.1
communication,instant_messaging,17,v2.1
communication,dating_discovery,15,v2.1
communication,short_video_live,13,v2.1
entertainment,mobile_games,76,v2.1
entertainment,video_streaming,49,v2.1
entertainment,gaming_platform,48,v2.1
entertainment,music_streaming,24,v2.1
entertainment,comics_webtoon,7,v2.1
entertainment,comedy_memes,3,v2.1
finance,mobile_banking,52,v2.1
finance,investment,48,v2.1
finance,payment_gateway,39,v2.1
finance,insurance,18,v2.1
finance,p2p_lending,16,v2.1
finance,e_wallet,15,v2.1
finance,crypto_digital_assets,14,v2.1
finance,bnpl_pay_later,7,v2.1
finance,crowdfunding,4,v2.1
health_wellness,fitness_sport,27,v2.1
health_wellness,healthcare_telemedicine,20,v2.1
health_wellness,health_wearables,14,v2.1
health_wellness,maternal_family,13,v2.1
information_education,news_media,44,v2.1
information_education,general_education,38,v2.1
information_education,campus_lms,15,v2.1
information_education,religious,13,v2.1
information_education,cooking_recipes,4,v2.1
information_education,reference_wiki,2,v2.1
lifestyle,automotive_owner_service,31,v2.1
lifestyle,dining_fnb,24,v2.1
lifestyle,job_freelance,11,v2.1
lifestyle,food_delivery,9,v2.1
lifestyle,beauty_personal_care,5,v2.1
lifestyle,smart_home,1,v2.1
other,tobacco_device,7,v2.1
platform_system,app_store,26,v2.1
platform_system,telco_self_care,12,v2.1
platform_system,weather_service,11,v2.1
platform_system,government,8,v2.1
platform_system,energy_ev,1,v2.1
productivity_tools,design_editing,30,v2.1
productivity_tools,system_utility,28,v2.1
productivity_tools,business_operations,26,v2.1
productivity_tools,office_collaboration,17,v2.1
productivity_tools,cloud_storage_file_sharing,16,v2.1
productivity_tools,ai_assistant,16,v2.1
productivity_tools,browser_search,12,v2.1
productivity_tools,developer_tools,11,v2.1
productivity_tools,file_viewer_reader,1,v2.1
transportation,travel_booking,60,v2.1
transportation,ride_hailing,12,v2.1
transportation,navigation_maps,11,v2.1
transportation,public_transport_ticketing,7,v2.1
transportation,logistics_delivery,6,v2.1
transportation,ride_hailing_driver,3,v2.1
transportation,parking,1,v2.1
